valid_at,sensor_id,pm2p5_x,pm2p5_y,pm1,pm10,no,no2,o3,co,relative_humidity,temperature,pressure,wind_speed,rain
2021-03-13 17:00:00,FEC01,10.8858333333333,3.3,9.0175,18.715,51.1733333333333,-6.86416666666667,165.544166666667,108.625,25,21.7,1023.3,15.7,0.0
2021-03-13 18:00:00,FEC02,4.66833333333333,3.4,1.83916666666667,8.06,17.3691666666667,1.28916666666667,215.73,101.455,30,18.1,1023.2,15.7,0.0
2021-03-13 18:00:00,FEC01,14.0116666666667,3.4,8.97416666666667,20.565,40.45,1.01833333333333,166.699166666667,99.95,30,18.1,1023.2,15.7,0.0
2021-03-13 19:00:00,FEC01,18.1725,3.5,14.4458333333333,18.0516666666667,35.8516666666667,12.7633333333333,158.796666666667,149.788333333333,37,16.7,1023.4,14.8,0.0
2021-03-13 19:00:00,FEC02,7.52,3.5,2.46583333333333,20.5475,9.47333333333333,12.8508333333333,201.623333333333,135.196666666667,37,16.7,1023.4,14.8,0.0
2021-03-13 20:00:00,FEC02,10.6033333333333,4.8,4.7925,33.6475,6.06583333333333,16.5508333333333,200.945833333333,130.165833333333,44,14.5,1024.2,7.6,0.0
2021-03-13 20:00:00,FEC01,19.7983333333333,4.8,16.51,15.6925,31.7908333333333,19.0091666666667,162.0625,164.834166666667,44,14.5,1024.2,7.6,0.0
2021-03-13 21:00:00,FEC02,13.1066666666667,5.3,5.18666666666667,23.6833333333333,12.0641666666667,22.2416666666667,183.974166666667,186.585833333333,50,12.9,1025.2,13.0,0.0
2021-03-13 21:00:00,FEC01,16.6283333333333,5.3,10.6266666666667,77.8583333333333,32.94,22.3816666666667,151.758333333333,245.008333333333,50,12.9,1025.2,13.0,0.0
2021-03-13 22:00:00,FEC01,28.2316666666667,7.1,24.9983333333333,22.9625,28.7541666666667,21.0041666666667,154.7,149.478333333333,54,11.5,1026.1,9.4,0.0
2021-03-13 22:00:00,FEC02,18.48,7.1,9.8075,17.3725,11.3908333333333,22.1125,187.34,131.1375,54,11.5,1026.1,9.4,0.0
2021-03-13 23:00:00,FEC02,13.7308333333333,6.3,6.92666666666667,22.5466666666667,12.0725,13.7808333333333,183.565,108.2425,55,11.0,1026.6,11.2,0.0
